NUTS_ID,cloud_mean,cloud_m01,cloud_m02,cloud_m03,cloud_m04,cloud_m05,cloud_m06,cloud_m07,cloud_m08,cloud_m09,cloud_m10,cloud_m11,cloud_m12
DE12C,0.7341222251868911,0.8327666719754537,0.7757333517074585,0.7807666460673014,0.7237000068028768,0.7118499875068665,0.6377250105142593,0.6941249966621399,0.5815000087022781,0.6740250065922737,0.753600001335144,0.8292500078678131,0.8144250065088272
DE14,0.7442465314848555,0.8425000111262003,0.8096999923388163,0.7826333443323771,0.7220999995867411,0.7232000231742859,0.6423249989748001,0.7082750052213669,0.5724750012159348,0.6710500046610832,0.7818499952554703,0.8497750014066696,0.8250750005245209
DE141,0.7442465314848555,0.8425000111262003,0.8096999923388163,0.7826333443323771,0.7220999995867411,0.7232000231742859,0.6423249989748001,0.7082750052213669,0.5724750012159348,0.6710500046610832,0.7818499952554703,0.8497750014066696,0.8250750005245209
DE2,0.7502908562137572,0.8442555566628774,0.811916665898429,0.7539388802316455,0.7327666613790723,0.7062874957919121,0.6518333355585734,0.7366416652997335,0.5884166670342286,0.6530833293994268,0.7921666701634725,0.8656333411733309,0.8665500059723854
DE21,0.7463034741166567,0.8343000213305155,0.8083666761716207,0.7662999828656515,0.7404999931653341,0.7085500061511993,0.6440000087022781,0.72325000166893,0.5875750035047531,0.6526749953627586,0.7817250043153763,0.8453000038862228,0.863099992275238
DE21J,0.7463034741166567,0.8343000213305155,0.8083666761716207,0.7662999828656515,0.7404999931653341,0.7085500061511993,0.6440000087022781,0.72325000166893,0.5875750035047531,0.6526749953627586,0.7817250043153763,0.8453000038862228,0.863099992275238
DE22,0.7427986109008392,0.8297666708628336,0.7995999852816263,0.7533999880154928,0.7292666633923849,0.7039499878883362,0.6350750029087067,0.7308749854564667,0.5815500020980835,0.6442000046372414,0.7807000130414963,0.8523750156164169,0.8728250116109848
DE227,0.7427986109008392,0.8297666708628336,0.7995999852816263,0.7533999880154928,0.7292666633923849,0.7039499878883362,0.6350750029087067,0.7308749854564667,0.5815500020980835,0.6442000046372414,0.7807000130414963,0.8523750156164169,0.8728250116109848
DE23,0.758420138930281,0.8655999898910522,0.8099000056584676,0.7378000020980835,0.7435666720072428,0.7173499912023544,0.6666000038385391,0.753250002861023,0.5978999957442284,0.6423749923706055,0.8072749823331833,0.8839500099420547,0.8754750192165375
DE239,0.758420138930281,0.8655999898910522,0.8099000056584676,0.7378000020980835,0.7435666720072428,0.7173499912023544,0.6666000038385391,0.753250002861023,0.5978999957442284,0.6423749923706055,0.8072749823331833,0.8839500099420547,0.8754750192165375
DE25,0.7530163164354032,0.8472999930381775,0.8162333369255066,0.7428499857584635,0.7254499892393748,0.7014499977231026,0.6619499996304512,0.749037504196167,0.5943499952554703,0.6581374928355217,0.7953625023365021,0.8796375021338463,0.864437498152256
DE259,0.7589284705205097,0.854699989159902,0.8022333383560181,0.7446666558583578,0.7397666573524475,0.7125750035047531,0.6710250079631805,0.7607000023126602,0.601624995470047,0.661824993789196,0.7984250038862228,0.88680000603199,0.8727999925613403
DE25A,0.747104162350297,0.839899996916453,0.8302333354949951,0.7410333156585693,0.7111333211263021,0.690324991941452,0.6528749912977219,0.7373750060796738,0.5870749950408936,0.6544499918818474,0.7923000007867813,0.8724749982357025,0.8560750037431717
DE27,0.7481902804639603,0.8412666718165079,0.8211666544278463,0.7804333368937174,0.732366661230723,0.7049749940633774,0.6414249986410141,0.7143999934196472,0.5747750103473663,0.6629749983549118,0.792575016617775,0.8529000133275986,0.8590250164270401
DE277,0.7481902804639603,0.8412666718165079,0.8211666544278463,0.7804333368937174,0.732366661230723,0.7049749940633774,0.6414249986410141,0.7143999934196472,0.5747750103473663,0.6629749983549118,0.792575016617775,0.8529000133275986,0.8590250164270401
DE3,0.7262048650946881,0.8300000031789144,0.796500007311503,0.7122333447138468,0.6939999858538309,0.6530500203371048,0.6725500077009201,0.7415249943733215,0.664325013756752,0.5631250143051147,0.7128500044345856,0.8145499974489212,0.8597499877214432
DE30,0.7262048650946881,0.8300000031789144,0.796500007311503,0.7122333447138468,0.6939999858538309,0.6530500203371048,0.6725500077009201,0.7415249943733215,0.664325013756752,0.5631250143051147,0.7128500044345856,0.8145499974489212,0.8597499877214432
DE300,0.7262048650946881,0.8300000031789144,0.796500007311503,0.7122333447138468,0.6939999858538309,0.6530500203371048,0.6725500077009201,0.7415249943733215,0.664325013756752,0.5631250143051147,0.7128500044345856,0.8145499974489212,0.8597499877214432
